OutInvoiceNumber;Route;Revenue;Reg.Tag;Client;Month;Quarter
INV-200;Olesnica (PL) - Subotica (SRB);100000.00;NS302-AA;ABM International;July;3
INV-13;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;July;3
INV-201;Olesnica (PL) - Subotica (SRB);100000.00;NS302-AA;ABM International;July;3
INV-202;Olesnica (PL) - Subotica (SRB);100000.00;NS302-AA;ABM International;July;3
INV-16;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;July;3
INV-203;Olesnica (PL) - Subotica (SRB);100000.00;NS302-AA;ABM International;July;3
INV-19;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;July;3
INV-204;Olesnica (PL) - Subotica (SRB);100000.00;NS302-AA;ABM International;July;3
INV-205;Olesnica (PL) - Subotica (SRB);100000.00;NS302-AA;ABM International;July;3
INV-206;Olesnica (PL) - Subotica (SRB);100000.00;NS302-AA;ABM International;July;3
INV-207;Olesnica (PL) - Subotica (SRB);100000.00;NS302-AA;ABM International;July;3
INV-208;Olesnica (PL) - Subotica (SRB);100000.00;NS302-AA;ABM International;July;3
INV-209;Olesnica (PL) - Subotica (SRB);100000.00;NS302-AA;ABM International;July;3
INV-210;Olesnica (PL) - Subotica (SRB);100000.00;NS302-AA;ABM International;July;3
INV-31;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;July;3
INV-211;Olesnica (PL) - Subotica (SRB);100000.00;NS302-AA;ABM International;July;3
INV-212;Olesnica (PL) - Subotica (SRB);100000.00;NS302-AA;ABM International;July;3
INV-213;Olesnica (PL) - Subotica (SRB);100000.00;NS302-AA;ABM International;July;3
INV-37;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;July;3
INV-214;Olesnica (PL) - Subotica (SRB);100000.00;NS302-AA;ABM International;July;3
INV-40;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;July;3
INV-215;Olesnica (PL) - Subotica (SRB);100000.00;NS302-AA;ABM International;August;3
INV-216;Olesnica (PL) - Subotica (SRB);150000.00;BG 806-AA;ABM International;August;3
INV-43;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;August;3
INV-217;Olesnica (PL) - Subotica (SRB);150000.00;BG 806-AA;ABM International;August;3
INV-46;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;August;3
INV-218;Olesnica (PL) - Subotica (SRB);150000.00;BG 806-AA;ABM International;August;3
INV-219;Olesnica (PL) - Subotica (SRB);150000.00;BG 806-AA;ABM International;August;3
INV-319;Prag (CZ) - Beograd (SRB);150000.00;BG 806-AA;Staropramen;August;3
INV-320;Prag (CZ) - Beograd (SRB);150000.00;BG 806-AA;Staropramen;August;3
INV-321;Prag (CZ) - Beograd (SRB);150000.00;BG 806-AA;Staropramen;August;3
INV-322;Prag (CZ) - Beograd (SRB);150000.00;BG 806-AA;Staropramen;August;3
INV-323;Prag (CZ) - Beograd (SRB);150000.00;BG 806-AA;Staropramen;August;3
INV-324;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-325;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-326;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-327;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-328;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-329;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-330;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-331;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-332;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-333;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-334;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-335;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-336;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-337;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-338;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-339;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-340;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-341;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-342;Beograd (SRB) - Subotica (SRB);30000.00;BG711-SD;Elektroremont;August;3
INV-49;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;August;3
INV-52;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;August;3
INV-55;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;August;3
INV-58;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;August;3
INV-61;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;August;3
INV-64;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;August;3
INV-67;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;August;3
INV-70;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;August;3
INV-73;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;September;3
INV-76;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;September;3
INV-79;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;September;3
INV-82;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;September;3
INV-85;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;September;3
INV-88;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;September;3
INV-91;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;September;3
INV-94;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;September;3
INV-97;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;September;3
INV-100;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;September;3
INV-103;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;October;4
INV-106;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;October;4
INV-109;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;October;4
INV-112;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;October;4
INV-115;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;October;4
INV-118;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;October;4
INV-136;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;November;4
INV-139;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;November;4
INV-142;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;November;4
INV-145;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;November;4
INV-148;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;November;4
INV-151;Budapest (HU) - Subotica (SRB);50000.00;SU600-AE;Masterplast;November;4
